region,season,phase,lag,n_days,anom_mean
north_japan,JJ,8,10,108,-0.7356178083717971
north_japan,AUG,1,0,95,0.3497109767576499
north_japan,AUG,1,5,90,0.2378158345420453
north_japan,AUG,1,10,84,-1.0365788875311235
north_japan,AUG,2,0,81,0.49169742315091
north_japan,AUG,2,5,77,0.6024044890776357
north_japan,AUG,2,10,70,-0.2599483633344312
north_japan,AUG,3,0,39,-2.2516707169673618
north_japan,AUG,3,5,26,-1.2766658064717913
north_japan,AUG,3,10,21,3.531464791884273
north_japan,AUG,4,0,33,-0.22902016951710638
north_japan,AUG,4,5,33,0.027521431006794043
north_japan,AUG,4,10,29,-0.4549153213090492
north_japan,AUG,5,0,53,-0.14756233869219357
north_japan,AUG,5,5,57,0.6656842294358664
north_japan,AUG,5,10,62,-1.006536556487112
north_japan,AUG,6,0,85,-0.09896177737737365
north_japan,AUG,6,5,93,-0.2301058998235621
north_japan,AUG,6,10,101,-0.5778860858228625
north_japan,AUG,7,0,34,-0.8879351171065332
north_japan,AUG,7,5,39,-0.992757816949772
north_japan,AUG,7,10,35,3.3003331928515247
north_japan,AUG,8,0,11,-0.9922480822437519
north_japan,AUG,8,5,14,2.4375987978483376
north_japan,AUG,8,10,17,-1.2793208362952384
east_japan,JJA,1,0,283,-1.3736103536449007
east_japan,JJA,1,5,293,-0.8024599953903848
east_japan,JJA,1,10,286,-0.943867204359286
east_japan,JJA,2,0,195,0.13013780966294308
east_japan,JJA,2,5,198,0.31383324338351715
east_japan,JJA,2,10,191,-0.8834732759258399
east_japan,JJA,3,0,111,-1.340627633227723
east_japan,JJA,3,5,104,-0.007800929548830899
east_japan,JJA,3,10,97,0.9810972137527979
east_japan,JJA,4,0,116,0.6889854499698983
east_japan,JJA,4,5,114,-0.1198356696465326
east_japan,JJA,4,10,113,0.18568511515622527
east_japan,JJA,5,0,159,0.8190015376147868
east_japan,JJA,5,5,161,-0.24548865991522523
east_japan,JJA,5,10,164,-0.03969481681120482
east_japan,JJA,6,0,195,-0.9568537924514224
east_japan,JJA,6,5,195,-0.4829651246557643
east_japan,JJA,6,10,186,-0.6344189889823889
east_japan,JJA,7,0,100,-0.8972341370965159
east_japan,JJA,7,5,103,0.8760934748165369
east_japan,JJA,7,10,108,1.2405492017480126
east_japan,JJA,8,0,96,1.0406749424021202
east_japan,JJA,8,5,106,-0.5188523421138876
east_japan,JJA,8,10,125,0.5990482397615102
east_japan,JJ,1,0,188,-2.0629489001575174
east_japan,JJ,1,5,203,-1.0162437491202236
east_japan,JJ,1,10,202,-1.3127547628951677
east_japan,JJ,2,0,114,-0.21025547111664442
east_japan,JJ,2,5,121,-0.2613086064392336
east_japan,JJ,2,10,121,-0.9110632422558406
east_japan,JJ,3,0,72,-0.7798418067798815
east_japan,JJ,3,5,78,0.04970573986734479
east_japan,JJ,3,10,76,0.2790742229128299
east_japan,JJ,4,0,83,0.12581068631001063
east_japan,JJ,4,5,81,-1.0098347617125862
east_japan,JJ,4,10,84,0.5057757027692668
east_japan,JJ,5,0,106,0.20179393018462566
east_japan,JJ,5,5,104,0.384009841637444
east_japan,JJ,5,10,102,0.5301152652261364
east_japan,JJ,6,0,110,-0.07651584675655604
east_japan,JJ,6,5,102,-0.2948136486862451
east_japan,JJ,6,10,85,-1.0844435866944862
east_japan,JJ,7,0,66,-0.7151083381632026
east_japan,JJ,7,5,64,1.244257785737034
east_japan,JJ,7,10,73,0.28216499366034603
east_japan,JJ,8,0,85,0.8811041800471779
east_japan,JJ,8,5,92,-1.0930067376084938
east_japan,JJ,8,10,108,0.5074167309757608
east_japan,AUG,1,0,95,-0.009445658230045083
east_japan,AUG,1,5,90,-0.32025886140655746
east_japan,AUG,1,10,84,-0.05678045599398756
east_japan,AUG,2,0,81,0.6092098387487186
east_japan,AUG,2,5,77,1.2176275706678426
east_japan,AUG,2,10,70,-0.8357820616595324
east_japan,AUG,3,0,39,-2.375924518383838
east_japan,AUG,3,5,26,-0.1803209424884701
east_japan,AUG,3,10,21,3.521751817830679
east_japan,AUG,4,0,33,2.10545528179925
east_japan,AUG,4,5,33,2.064707574692369
east_japan,AUG,4,10,29,-0.7414738475240834
east_japan,AUG,5,0,53,2.0534167470425966
east_japan,AUG,5,5,57,-1.3940473363837578
east_japan,AUG,5,10,62,-0.9771243016137467
east_japan,AUG,6,0,85,-2.0961146624707063
east_japan,AUG,6,5,93,-0.6893248023567021
east_japan,AUG,6,10,101,-0.25568541770266456
east_japan,AUG,7,0,34,-1.2507724600930086
east_japan,AUG,7,5,39,0.2719264040600588
east_japan,AUG,7,10,35,3.2394648249066376
east_japan,AUG,8,0,11,2.2737217578248705
east_japan,AUG,8,5,14,3.2541622511901407
east_japan,AUG,8,10,17,1.1811778486743156
west_japan,JJA,1,0,283,-0.16052949187246265
west_japan,JJA,1,5,293,-0.01343357107088377
west_japan,JJA,1,10,286,-1.572426939997322
west_japan,JJA,2,0,195,-0.13666449020582874
west_japan,JJA,2,5,198,-0.9130114456447644
west_japan,JJA,2,10,191,-0.3034068940886098
west_japan,JJA,3,0,111,-0.8477254587449023
west_japan,JJA,3,5,104,-0.4854595188790649
west_japan,JJA,3,10,97,-0.2009505716456267
west_japan,JJA,4,0,116,-0.16590363779557937
west_japan,JJA,4,5,114,0.5786968222113895
west_japan,JJA,4,10,113,0.03333400807455755
west_japan,JJA,5,0,159,-0.39724156130194244
west_japan,JJA,5,5,161,0.13664294909810576
west_japan,JJA,5,10,164,-0.2665648443147537
west_japan,JJA,6,0,195,-1.6167767229748218
west_japan,JJA,6,5,195,-1.368095877967864
west_japan,JJA,6,10,186,-1.4111671877389553
west_japan,JJA,7,0,100,-0.9618360855810768
west_japan,JJA,7,5,103,-0.3504883384295704
west_japan,JJA,7,10,108,2.3859782543802517
west_japan,JJA,8,0,96,2.1512245696614483
west_japan,JJA,8,5,106,1.0626888042809193
west_japan,JJA,8,10,125,0.5812659868241812
west_japan,JJ,1,0,188,-0.7928835972534155
west_japan,JJ,1,5,203,-0.3617921022641632
west_japan,JJ,1,10,202,-1.7485813738903695
west_japan,JJ,2,0,114,-0.5150267347099693
west_japan,JJ,2,5,121,-1.547766805572025
west_japan,JJ,2,10,121,-0.6050127880816928
west_japan,JJ,3,0,72,-0.5213052703922596
west_japan,JJ,3,5,78,-1.0068525631542058
west_japan,JJ,3,10,76,-0.8253447031622965
west_japan,JJ,4,0,83,-0.9239781338646217
west_japan,JJ,4,5,81,0.19860201596636118
