region,season,phase,lag,n_days,anom_mean
north_japan,AUG,1,0,16,-1.4385704867883584
north_japan,AUG,1,5,24,0.5462506133952365
north_japan,AUG,1,10,29,-0.7343239492231711
north_japan,AUG,2,0,14,0.41122161549306635
north_japan,AUG,2,5,14,-0.4999655909778762
north_japan,AUG,2,10,14,1.5468992031967213
north_japan,AUG,3,0,14,0.0335849988139866
north_japan,AUG,3,5,14,1.614178992959958
north_japan,AUG,3,10,14,0.0590320475405657
north_japan,AUG,4,0,14,2.5904638614488964
north_japan,AUG,4,5,13,2.069917757620616
north_japan,AUG,4,10,10,2.177920683574778
north_japan,AUG,5,0,36,-0.41124789466866013
north_japan,AUG,5,5,29,0.03675960333629364
north_japan,AUG,5,10,29,0.258623628114879
north_japan,AUG,6,0,26,-1.1554311460335491
north_japan,AUG,6,5,30,1.2453575617089239
north_japan,AUG,6,10,33,-0.4327334221812724
north_japan,AUG,7,0,15,2.887593833660545
north_japan,AUG,7,5,15,-2.030578565159138
north_japan,AUG,7,10,20,0.5029463060896924
north_japan,AUG,8,0,26,-0.6526710290495351
north_japan,AUG,8,5,21,-0.9383873273186245
north_japan,AUG,8,10,11,0.06269103832830326
east_japan,JJA,1,0,92,-0.734523480467202
east_japan,JJA,1,5,100,1.2820861309471308
east_japan,JJA,1,10,108,0.5042799666666518
east_japan,JJA,2,0,65,0.7848566062522704
east_japan,JJA,2,5,77,0.05628258807797242
east_japan,JJA,2,10,89,-0.8562643091620279
east_japan,JJA,3,0,59,-0.4128742992102938
east_japan,JJA,3,5,68,-0.15931181850329493
east_japan,JJA,3,10,68,-0.0349200666735267
east_japan,JJA,4,0,59,0.6330493356292224
east_japan,JJA,4,5,59,-0.335782397099037
east_japan,JJA,4,10,53,0.5222143556156515
east_japan,JJA,5,0,86,-0.9475671062179175
east_japan,JJA,5,5,74,0.09767697179318333
east_japan,JJA,5,10,70,0.41516283939747967
east_japan,JJA,6,0,85,-0.7511900782855292
east_japan,JJA,6,5,85,-0.2745248975495125
east_japan,JJA,6,10,86,0.43787027004995305
east_japan,JJA,7,0,75,0.39559892774999855
east_japan,JJA,7,5,81,1.3825790243006935
east_japan,JJA,7,10,90,1.1516179833718379
east_japan,JJA,8,0,70,2.6309122327510863
east_japan,JJA,8,5,75,-0.7304489046994034
east_japan,JJA,8,10,70,0.3952811046246012
east_japan,JJ,1,0,76,-0.5618102304587845
east_japan,JJ,1,5,76,1.8176421520405905
east_japan,JJ,1,10,79,0.5368100160313742
east_japan,JJ,2,0,51,0.06440386412118584
east_japan,JJ,2,5,63,0.5959457170918199
east_japan,JJ,2,10,75,-0.8560347888194338
east_japan,JJ,3,0,45,-0.039893784160477695
east_japan,JJ,3,5,54,-0.09212385692976878
east_japan,JJ,3,10,54,-0.7299693120333031
east_japan,JJ,4,0,45,1.0642998251866735
east_japan,JJ,4,5,46,-0.46806343388912297
east_japan,JJ,4,10,43,0.05230950608684605
east_japan,JJ,5,0,50,-1.2053148374474965
east_japan,JJ,5,5,45,-0.9685251079784786
east_japan,JJ,5,10,41,0.07796645453677682
east_japan,JJ,6,0,59,-1.2369590636733538
east_japan,JJ,6,5,55,-0.5990882406344802
east_japan,JJ,6,10,53,0.3549261542324234
east_japan,JJ,7,0,60,0.7687716463711446
east_japan,JJ,7,5,66,1.1192075952537994
east_japan,JJ,7,10,70,0.3223897327254508
east_japan,JJ,8,0,44,3.959844782969813
east_japan,JJ,8,5,54,-0.5116860235174634
east_japan,JJ,8,10,59,0.5366602524217569
east_japan,AUG,1,0,16,-1.5549114229429633
east_japan,AUG,1,5,24,-0.4138412892436914
east_japan,AUG,1,10,29,0.4156636245905256
east_japan,AUG,2,0,14,3.4093630279696017
east_japan,AUG,2,5,14,-2.3722014945229706
east_japan,AUG,2,10,14,-0.8574938287579849
east_japan,AUG,3,0,14,-1.6117402300523316
east_japan,AUG,3,5,14,-0.4184653999200046
east_japan,AUG,3,10,14,2.645984161942205
east_japan,AUG,4,0,14,-0.7531129562292789
east_japan,AUG,4,5,13,0.13228897039393256
east_japan,AUG,4,10,10,2.542805204249742
east_japan,AUG,5,0,36,-0.5895841452496017
east_japan,AUG,5,5,29,1.7521285010149386
east_japan,AUG,5,10,29,0.8918887545556026
east_japan,AUG,6,0,26,0.35113184198159886
east_japan,AUG,6,5,30,0.3205078979435191
east_japan,AUG,6,10,33,0.5710835446551761
east_japan,AUG,7,0,15,-1.097091984132752
east_japan,AUG,7,5,15,2.541413335734122
east_japan,AUG,7,10,20,4.053916869711676
east_japan,AUG,8,0,26,0.381949442315057
east_japan,AUG,8,5,21,-1.29298202255206
east_japan,AUG,8,10,11,-0.3630252358698008
west_japan,JJA,1,0,92,-0.6011981722098779
west_japan,JJA,1,5,100,1.5480381328724144
west_japan,JJA,1,10,108,0.5088003775357923
west_japan,JJA,2,0,65,1.2766395792405303
