region,season,phase,lag,n_days,anom_mean
north_japan,JJ,8,10,203,-0.8043233643849118
north_japan,AUG,1,0,146,0.6412621349054958
north_japan,AUG,1,5,142,1.1721501028893346
north_japan,AUG,1,10,132,-0.40270433051998616
north_japan,AUG,2,0,158,0.17765506437096315
north_japan,AUG,2,5,138,0.7988117703481494
north_japan,AUG,2,10,130,1.3373332848754655
north_japan,AUG,3,0,56,-1.461688307666815
north_japan,AUG,3,5,46,-0.30240200608201034
north_japan,AUG,3,10,48,1.868881534226499
north_japan,AUG,4,0,52,0.9228771158356146
north_japan,AUG,4,5,53,0.970074449387845
north_japan,AUG,4,10,48,0.3446163858300814
north_japan,AUG,5,0,106,-0.07510804616752739
north_japan,AUG,5,5,104,0.5562279233207617
north_japan,AUG,5,10,105,-0.13002746421390854
north_japan,AUG,6,0,128,0.3374130423481859
north_japan,AUG,6,5,142,0.8186998795332819
north_japan,AUG,6,10,153,-0.07324795671615872
north_japan,AUG,7,0,49,0.26783905291836674
north_japan,AUG,7,5,55,-1.251990357102084
north_japan,AUG,7,10,56,2.605302915513903
north_japan,AUG,8,0,51,0.6390425643159146
north_japan,AUG,8,5,46,-0.37498432537831666
north_japan,AUG,8,10,39,-0.037089121719705076
east_japan,JJA,1,0,520,-0.7754899383081203
east_japan,JJA,1,5,541,0.1321301669566956
east_japan,JJA,1,10,530,-0.039264219339525265
east_japan,JJA,2,0,419,0.6347884912168315
east_japan,JJA,2,5,417,0.4811457626885321
east_japan,JJA,2,10,409,-0.10850254123270893
east_japan,JJA,3,0,207,-0.7628966827322186
east_japan,JJA,3,5,207,0.051620912566350416
east_japan,JJA,3,10,200,0.1191331204414901
east_japan,JJA,4,0,211,0.6930393890824953
east_japan,JJA,4,5,209,-0.3424779993510135
east_japan,JJA,4,10,203,0.16146318331739207
east_japan,JJA,5,0,274,0.041421119066892796
east_japan,JJA,5,5,263,-0.3549192345968886
east_japan,JJA,5,10,268,0.18231393871949525
east_japan,JJA,6,0,308,-0.7943862535074343
east_japan,JJA,6,5,316,-0.1121214622487536
east_japan,JJA,6,10,310,0.19508001501306663
east_japan,JJA,7,0,194,-0.32801447335202527
east_japan,JJA,7,5,209,1.2924845914707017
east_japan,JJA,7,10,227,0.763848615817677
east_japan,JJA,8,0,207,2.2795151116665213
east_japan,JJA,8,5,225,-0.22853660668317347
east_japan,JJA,8,10,242,0.3953299049657988
east_japan,JJ,1,0,374,-1.2823662471963446
east_japan,JJ,1,5,399,-0.12490846138274667
east_japan,JJ,1,10,398,-0.10692573079298671
east_japan,JJ,2,0,261,0.37537241988321285
east_japan,JJ,2,5,279,0.28527406195979294
east_japan,JJ,2,10,279,-0.1777312444287682
east_japan,JJ,3,0,151,-0.28975982580647686
east_japan,JJ,3,5,161,0.19820600961851825
east_japan,JJ,3,10,152,-0.7020790870848642
east_japan,JJ,4,0,159,0.6034677857164089
east_japan,JJ,4,5,156,-0.9311458118480418
east_japan,JJ,4,10,155,0.35760785818137436
east_japan,JJ,5,0,168,-0.44024625267260836
east_japan,JJ,5,5,159,-0.15013871472360818
east_japan,JJ,5,10,163,0.4209024614591592
east_japan,JJ,6,0,180,-0.5812333398095936
east_japan,JJ,6,5,174,-0.32112126302803135
east_japan,JJ,6,10,157,0.027883226290709794
east_japan,JJ,7,0,145,-0.03208389741749252
east_japan,JJ,7,5,154,1.4554104611900378
east_japan,JJ,7,10,171,-0.19250472245250996
east_japan,JJ,8,0,156,2.6193134345910023
east_japan,JJ,8,5,179,-0.3872522125645619
east_japan,JJ,8,10,203,0.22902076744394864
east_japan,AUG,1,0,146,0.5229466303970816
east_japan,AUG,1,5,142,0.8543725028442248
east_japan,AUG,1,10,132,0.16474549703882616
east_japan,AUG,2,0,158,1.0633175808340842
east_japan,AUG,2,5,138,0.877147255922287
east_japan,AUG,2,10,130,0.04007290562650155
east_japan,AUG,3,0,56,-2.038676420246772
east_japan,AUG,3,5,46,-0.4614269275524118
east_japan,AUG,3,10,48,2.71963842351134
east_japan,AUG,4,0,52,0.966921793004772
east_japan,AUG,4,5,53,1.3902046128611791
east_japan,AUG,4,10,48,-0.471920663395968
east_japan,AUG,5,0,106,0.8048184658732582
east_japan,AUG,5,5,104,-0.6679971389838256
east_japan,AUG,5,10,105,-0.18806634274890982
east_japan,AUG,6,0,128,-1.0941325237997053
east_japan,AUG,6,5,142,0.14397688481168383
east_japan,AUG,6,10,153,0.3666479607334736
east_japan,AUG,7,0,49,-1.2037274055261369
east_japan,AUG,7,5,55,0.836292135022371
east_japan,AUG,7,10,56,3.6841418491147087
east_japan,AUG,8,0,51,1.2401320177364537
east_japan,AUG,8,5,46,0.3890741410065841
east_japan,AUG,8,10,39,1.2609903129265254
west_japan,JJA,1,0,520,-0.010803946429849987
west_japan,JJA,1,5,541,0.14713238764108985
west_japan,JJA,1,10,530,-0.836855679583692
west_japan,JJA,2,0,419,0.5959028185883722
west_japan,JJA,2,5,417,-0.5984437796493812
west_japan,JJA,2,10,409,-0.32496947239172114
west_japan,JJA,3,0,207,-0.7572848880422746
west_japan,JJA,3,5,207,-0.17442562487330918
west_japan,JJA,3,10,200,-0.8563351239372506
west_japan,JJA,4,0,211,0.42846569366970244
west_japan,JJA,4,5,209,0.4604921378392722
west_japan,JJA,4,10,203,0.07429254178085157
west_japan,JJA,5,0,274,-0.018944726300843925
west_japan,JJA,5,5,263,0.11067038130346997
west_japan,JJA,5,10,268,0.6701311337558161
west_japan,JJA,6,0,308,-1.7112460230211524
west_japan,JJA,6,5,316,-1.020192978884293
west_japan,JJA,6,10,310,-0.498652270889511
west_japan,JJA,7,0,194,0.32773176790769665
west_japan,JJA,7,5,209,1.1638412366623263
west_japan,JJA,7,10,227,1.4783821929974537
west_japan,JJA,8,0,207,2.8545638309277837
west_japan,JJA,8,5,225,1.2120925814760493
west_japan,JJA,8,10,242,0.6009435701698451
west_japan,JJ,1,0,374,-0.6970557400341181
west_japan,JJ,1,5,399,-0.20441558811675528
west_japan,JJ,1,10,398,-0.9033284894724806
west_japan,JJ,2,0,261,0.4795690584616915
west_japan,JJ,2,5,279,-0.8390606498749296
west_japan,JJ,2,10,279,-0.19689906325419623
west_japan,JJ,3,0,151,-0.40817828333345846
west_japan,JJ,3,5,161,-0.2703375951191542
